TRANS_DATE,DATE,HOUR,SHIP_TO,VOLUME,TRANSACTION_AMT,TRANSACTION_COUNT
3/5/2025,20250305,5,888950,4.844,13.07,1
3/5/2025,20250305,6,888950,28.468,76.84,3
3/5/2025,20250305,7,888950,47.273,127.59,6
3/5/2025,20250305,8,888950,23.265,62.8,2
3/5/2025,20250305,9,888950,46.686,129.25,7
3/5/2025,20250305,10,888950,17.044,46,3
3/5/2025,20250305,11,888950,2.789,7.53,1
3/5/2025,20250305,12,888950,14.82,40,1
3/5/2025,20250305,13,888950,35.435,116.42,5
3/5/2025,20250305,14,888950,20.943,56.53,4
3/5/2025,20250305,15,888950,41.372,127.59,4
3/5/2025,20250305,16,888950,35.198,95,4
3/5/2025,20250305,17,888950,15.564,42.01,5
3/5/2025,20250305,18,888950,36.895,112.91,5
3/5/2025,20250305,19,888950,7.062,19.06,1
3/5/2025,20250305,20,888950,16.776,45.28,2
3/5/2025,20250305,21,888950,7.04,19,2
3/5/2025,20250305,22,888950,3.705,10,1
3/5/2025,20250305,23,888950,3.705,10,1
3/6/2025,20250306,0,888950,1.516,5,1
3/6/2025,20250306,4,888950,13.376,36.1,1
3/6/2025,20250306,5,888950,44.729,120.72,4
3/6/2025,20250306,6,888950,90.755,253.55,7
3/6/2025,20250306,7,888950,104.524,346.64,8
3/6/2025,20250306,8,888950,62.696,186.07,9
3/6/2025,20250306,9,888950,13.553,36.58,3
3/6/2025,20250306,10,888950,42.278,114.11,8
3/6/2025,20250306,11,888950,5.558,15,1
3/6/2025,20250306,12,888950,16.303,44,4
3/6/2025,20250306,14,888950,30.288,81.75,4
3/6/2025,20250306,15,888950,28.041,90.14,4
3/6/2025,20250306,16,888950,9.263,25,1
3/6/2025,20250306,17,888950,89.496,247.76,11
3/6/2025,20250306,18,888950,28.731,83,5
3/6/2025,20250306,19,888950,44.772,133,7
3/6/2025,20250306,20,888950,21.155,64.37,3
3/6/2025,20250306,21,888950,26.265,72.51,6
3/6/2025,20250306,22,888950,23.187,82.07,3
3/6/2025,20250306,23,888950,2.594,7,1
3/7/2025,20250307,0,888950,11.115,30,2
3/7/2025,20250307,1,888950,2.097,5.66,1
3/7/2025,20250307,5,888950,17.516,47.28,3
3/7/2025,20250307,6,888950,44.386,127.91,4
3/7/2025,20250307,7,888950,50.432,148.42,7
3/7/2025,20250307,8,888950,26.889,72.58,4
3/7/2025,20250307,9,888950,23.407,63.18,2
3/7/2025,20250307,10,888950,30.02,95.42,5
3/7/2025,20250307,11,888950,8.577,31.3,1
3/7/2025,20250307,12,888950,16.757,47.93,3
3/7/2025,20250307,13,888950,24.957,72.31,5
3/7/2025,20250307,14,888950,51.518,154,6
3/7/2025,20250307,15,888950,95.672,271.87,9
3/7/2025,20250307,16,888950,42.647,115.1,5
3/7/2025,20250307,17,888950,61.309,165.48,7
3/7/2025,20250307,18,888950,31.798,85.82,4
3/7/2025,20250307,19,888950,8.85,25.8,3
3/7/2025,20250307,20,888950,23.167,62.53,3
3/7/2025,20250307,21,888950,15.214,41.06,2
3/7/2025,20250307,22,888950,20.747,56,3
3/7/2025,20250307,23,888950,6.484,17.5,2
3/8/2025,20250308,1,888950,18.466,49.84,3
3/8/2025,20250308,2,888950,3.705,10,1
3/8/2025,20250308,3,888950,7.41,20,1
3/8/2025,20250308,5,888950,23.47,63.34,4
3/8/2025,20250308,6,888950,34.085,112.45,2
3/8/2025,20250308,7,888950,31.137,84.04,2
3/8/2025,20250308,8,888950,60.379,175.99,6
3/8/2025,20250308,9,888950,54.557,147.25,5
3/8/2025,20250308,10,888950,7.039,19,1
3/8/2025,20250308,11,888950,27.333,73.78,6
3/8/2025,20250308,12,888950,30.922,83.46,4
3/8/2025,20250308,13,888950,11.454,30.91,1
3/8/2025,20250308,14,888950,6.062,20,1
3/8/2025,20250308,15,888950,10.745,29,3
3/8/2025,20250308,16,888950,37.734,109.54,5
3/8/2025,20250308,17,888950,5.45,14.71,2
3/8/2025,20250308,18,888950,47.875,129.06,7
3/8/2025,20250308,19,888950,50.755,142.39,6
3/8/2025,20250308,20,888950,30.05,88.38,3
3/8/2025,20250308,21,888950,19.375,52.29,4
3/8/2025,20250308,22,888950,3.705,10,1
3/8/2025,20250308,23,888950,15.928,42.99,3
3/9/2025,20250309,0,888950,11.115,30,2
3/9/2025,20250309,1,888950,3.705,10,1
3/9/2025,20250309,3,888950,7.41,20,1
3/9/2025,20250309,6,888950,29.069,78.46,4
3/9/2025,20250309,7,888950,7.41,20,1
3/9/2025,20250309,8,888950,5.22,14.09,1
3/9/2025,20250309,9,888950,18.053,48.73,2
3/9/2025,20250309,10,888950,9.263,25,2
3/9/2025,20250309,11,888950,17.518,47.28,3
3/9/2025,20250309,12,888950,14.823,40.01,3
3/9/2025,20250309,13,888950,51.41,142.08,9
3/9/2025,20250309,14,888950,48.016,135,5
3/9/2025,20250309,15,888950,59.921,172.25,8
3/9/2025,20250309,16,888950,94.613,264.59,7
3/9/2025,20250309,17,888950,14.819,40,3
3/9/2025,20250309,18,888950,19.704,55,3
3/9/2025,20250309,19,888950,18.357,55,3
3/9/2025,20250309,20,888950,7.478,20.18,2
3/9/2025,20250309,21,888950,12.614,39.5,2
3/9/2025,20250309,22,888950,9.263,25,2
3/10/2025,20250310,5,888950,21.407,57.78,3
3/10/2025,20250310,6,888950,64.193,182.41,7
3/10/2025,20250310,7,888950,32.317,96.1,3
3/10/2025,20250310,8,888950,41.777,131.68,4
3/10/2025,20250310,9,888950,26.564,93.41,2
3/10/2025,20250310,10,888950,17.784,48,3
3/10/2025,20250310,11,888950,38.863,104.89,3
3/10/2025,20250310,12,888950,27.59,74.46,3
3/10/2025,20250310,13,888950,59.248,177.96,7
3/10/2025,20250310,14,888950,20.86,62.15,3
3/10/2025,20250310,15,888950,7.41,20,1
3/10/2025,20250310,16,888950,73.974,199.65,9
3/10/2025,20250310,17,888950,81.465,232.14,8
3/10/2025,20250310,18,888950,17.896,51.04,4
3/10/2025,20250310,19,888950,34.014,91.81,5
3/10/2025,20250310,21,888950,7.412,20.01,2
3/10/2025,20250310,22,888950,3.034,10.01,1
3/10/2025,20250310,23,888950,6.67,18,2
3/11/2025,20250311,4,888950,2.091,7.73,1
3/11/2025,20250311,5,888950,5.187,14,1
3/11/2025,20250311,6,888950,31.494,85,4
3/11/2025,20250311,7,888950,141.847,395.56,9
3/11/2025,20250311,8,888950,44.573,120.3,4
3/11/2025,20250311,9,888950,39.807,107.44,3
3/11/2025,20250311,10,888950,16.673,45,2
3/11/2025,20250311,11,888950,33.093,99.37,4
3/11/2025,20250311,12,888950,3.705,10,1
3/11/2025,20250311,13,888950,20.946,59.26,3
3/11/2025,20250311,14,888950,20.436,55.16,3
3/11/2025,20250311,15,888950,13.668,45,2
3/11/2025,20250311,16,888950,14.837,48.95,1
3/11/2025,20250311,17,888950,62.866,177.87,6
3/11/2025,20250311,18,888950,43.833,118.3,4
3/11/2025,20250311,19,888950,37.716,109.07,5
3/11/2025,20250311,20,888950,17.44,47.07,3
3/11/2025,20250311,21,888950,33.003,91.67,5
3/11/2025,20250311,22,888950,8.11,30,1
3/11/2025,20250311,23,888950,6.299,17,2
3/12/2025,20250312,0,888950,3.705,10,1
3/12/2025,20250312,3,888950,2.594,7,1
3/12/2025,20250312,4,888950,4.921,18.2,1
3/12/2025,20250312,5,888950,7.41,20,1
3/12/2025,20250312,6,888950,34.753,96.53,4
3/12/2025,20250312,7,888950,80.821,248.95,5
3/12/2025,20250312,8,888950,8.151,22,2
3/12/2025,20250312,9,888950,58.401,176.02,5
3/12/2025,20250312,11,888950,21.489,58,3
3/12/2025,20250312,12,888950,54.962,161,6
3/12/2025,20250312,13,888950,53.005,143.06,6
3/12/2025,20250312,14,888950,33.855,103.15,7
3/12/2025,20250312,15,888950,45.393,143.58,6
3/12/2025,20250312,17,888950,18.413,49.7,2
3/12/2025,20250312,18,888950,7.411,20,2
3/12/2025,20250312,19,888950,7.411,20,2
3/12/2025,20250312,20,888950,29.667,80.07,5
3/12/2025,20250312,21,888950,22.23,60,3
3/12/2025,20250312,22,888950,19.267,52,4
3/12/2025,20250312,23,888950,13.894,37.5,3
3/13/2025,20250313,0,888950,14.823,40.01,2
3/13/2025,20250313,1,888950,33.375,112.12,2
3/13/2025,20250313,2,888950,16.339,52.35,2
3/13/2025,20250313,4,888950,12.968,35,2
3/13/2025,20250313,5,888950,28.723,88.3,4
3/13/2025,20250313,6,888950,38.327,103.44,3
3/13/2025,20250313,7,888950,53.856,163.89,6
3/13/2025,20250313,8,888950,12.813,37.82,2
3/13/2025,20250313,9,888950,27.819,75.09,4
3/13/2025,20250313,10,888950,13.729,47.08,3
3/13/2025,20250313,11,888950,12.968,35,2
3/13/2025,20250313,12,888950,38.507,116.11,5
3/13/2025,20250313,14,888950,18.528,50.01,2
3/13/2025,20250313,15,888950,24.238,65.42,3
3/13/2025,20250313,16,888950,43.038,135.84,7
3/13/2025,20250313,17,888950,32.368,93.19,8
3/13/2025,20250313,18,888950,22.274,60.12,2
3/13/2025,20250313,19,888950,29.788,88.21,5
3/13/2025,20250313,20,888950,25.513,71.29,7
3/13/2025,20250313,21,888950,40.739,114.01,6
3/13/2025,20250313,22,888950,8.102,29.97,1
3/13/2025,20250313,23,888950,7.518,20.29,1
3/14/2025,20250314,1,888950,4.516,13,2
3/14/2025,20250314,4,888950,5.558,15,1
3/14/2025,20250314,5,888950,32.76,88.42,3
3/14/2025,20250314,6,888950,78.563,216.59,6
3/14/2025,20250314,7,888950,47.768,144.26,3
3/14/2025,20250314,9,888950,7.41,20,1
3/14/2025,20250314,10,888950,8.71,23.51,3
3/14/2025,20250314,11,888950,47.325,142.82,7
3/14/2025,20250314,12,888950,43.376,128.76,5
3/14/2025,20250314,13,888950,9.322,30.78,2
3/14/2025,20250314,14,888950,16.011,46.85,4
3/14/2025,20250314,15,888950,38.728,120.33,7
3/14/2025,20250314,16,888950,23.356,63.03,4
3/14/2025,20250314,17,888950,31.392,93.41,5
3/14/2025,20250314,18,888950,27.148,85.59,4
3/14/2025,20250314,19,888950,61.628,173.54,9
3/14/2025,20250314,20,888950,25.989,75.55,6
3/14/2025,20250314,21,888950,24.813,72.9,5
3/14/2025,20250314,22,888950,72.908,234.49,8
3/14/2025,20250314,23,888950,24.081,65,3
3/15/2025,20250315,0,888950,11.569,33.12,3
3/15/2025,20250315,4,888950,3.705,10,1
3/15/2025,20250315,5,888950,31.493,85,3
3/15/2025,20250315,6,888950,26.735,88.2,1
3/15/2025,20250315,7,888950,3.705,10,1
3/15/2025,20250315,8,888950,5.544,14.96,1
3/15/2025,20250315,9,888950,39.388,106.31,3
3/15/2025,20250315,10,888950,14.82,40,3
3/15/2025,20250315,11,888950,35.375,95.48,4
3/15/2025,20250315,12,888950,59.234,162.92,6
3/15/2025,20250315,13,888950,29.243,78.93,3
3/15/2025,20250315,14,888950,31.349,90.02,6
3/15/2025,20250315,15,888950,7.41,20,1
3/15/2025,20250315,16,888950,45.394,132.19,5
3/15/2025,20250315,17,888950,17.851,50,3
3/15/2025,20250315,18,888950,22.447,70.16,4
3/15/2025,20250315,19,888950,35.15,98.51,4
3/15/2025,20250315,20,888950,53.594,156.62,8
3/15/2025,20250315,21,888950,15.261,43.54,3
3/15/2025,20250315,23,888950,12.966,35,2
3/16/2025,20250316,0,888950,6.004,16.2,3
3/16/2025,20250316,4,888950,7.471,20.16,1
3/16/2025,20250316,5,888950,5.558,15,1
3/16/2025,20250316,6,888950,23.642,78,2
3/16/2025,20250316,8,888950,12.968,35,2
3/16/2025,20250316,9,888950,5.558,15,1
3/16/2025,20250316,10,888950,44.755,127.78,6
3/16/2025,20250316,11,888950,38.795,110.11,6
3/16/2025,20250316,12,888950,57.089,154.09,5
3/16/2025,20250316,13,888950,18.526,50,4
3/16/2025,20250316,14,888950,23.319,71.81,4
3/16/2025,20250316,15,888950,25.96,70.07,4
3/16/2025,20250316,16,888950,12.632,35,3
3/16/2025,20250316,17,888950,17.784,48,3
3/16/2025,20250316,18,888950,49.42,133.39,9
3/16/2025,20250316,19,888950,42.959,129.15,5
3/16/2025,20250316,20,888950,35.378,109,5
3/16/2025,20250316,21,888950,25.747,69.5,4
3/16/2025,20250316,22,888950,38.784,104.68,5
3/16/2025,20250316,23,888950,25.157,70.28,4
3/17/2025,20250317,5,888950,47.927,129.35,5
3/17/2025,20250317,6,888950,44.842,121.03,5
3/17/2025,20250317,7,888950,25.315,80.18,2
3/17/2025,20250317,8,888950,57.943,180.73,6
3/17/2025,20250317,9,888950,49.867,138.68,8
3/17/2025,20250317,10,888950,36.961,99.76,5
3/17/2025,20250317,11,888950,33.567,90.59,5
3/17/2025,20250317,12,888950,38.768,104.63,5
3/17/2025,20250317,13,888950,18.559,49.87,4
3/17/2025,20250317,14,888950,5.053,13.64,1
3/17/2025,20250317,15,888950,3.705,10,1
3/17/2025,20250317,16,888950,34.168,92.22,8
3/17/2025,20250317,17,888950,13.804,37.25,2
3/17/2025,20250317,18,888950,29.508,86.51,4
3/17/2025,20250317,19,888950,36.601,106.05,6
3/17/2025,20250317,20,888950,41.401,125.32,5
3/17/2025,20250317,21,888950,11.115,30,2
