TRANS_DATE,DATE,HOUR,SHIP_TO,VOLUME,TRANSACTION_AMT,TRANSACTION_COUNT
2/28/2025,20250228,7,899387,1066.191,2880.8,67
2/28/2025,20250228,8,899387,790.731,2083.7,70
2/28/2025,20250228,9,899387,679.341,1813.28,62
2/28/2025,20250228,10,899387,937.767,2482.9,76
2/28/2025,20250228,11,899387,914.159,2408.29,86
2/28/2025,20250228,12,899387,824.509,2191.7,72
2/28/2025,20250228,13,899387,977.255,2576.07,86
2/28/2025,20250228,14,899387,1004.584,2685.12,87
2/28/2025,20250228,15,899387,929.934,2456.87,79
2/28/2025,20250228,16,899387,983.706,2550.3,85
2/28/2025,20250228,17,899387,973.752,2573.77,85
2/28/2025,20250228,18,899387,1016.1,2679.3,89
2/28/2025,20250228,19,899387,612.057,1596.35,55
2/28/2025,20250228,20,899387,653.059,1719.09,62
2/28/2025,20250228,21,899387,644.063,1745.69,60
2/28/2025,20250228,22,899387,315.838,814.2,31
2/28/2025,20250228,23,899387,261.082,702.41,27
3/1/2025,20250301,0,899387,140.388,370.05,16
3/1/2025,20250301,1,899387,101.773,277.35,13
3/1/2025,20250301,2,899387,120.589,320.56,15
3/1/2025,20250301,3,899387,67.181,183.64,8
3/1/2025,20250301,4,899387,201.99,523.86,20
3/1/2025,20250301,5,899387,129.059,352.56,12
3/1/2025,20250301,6,899387,309.589,856.21,21
3/1/2025,20250301,7,899387,542.459,1499.2,42
3/1/2025,20250301,8,899387,454.456,1162.11,44
3/1/2025,20250301,9,899387,763.692,2021.61,72
3/1/2025,20250301,10,899387,1079.907,2881.54,93
3/1/2025,20250301,11,899387,919.813,2421.37,84
3/1/2025,20250301,12,899387,1005.25,2641.88,91
3/1/2025,20250301,13,899387,1155.831,3061.9,98
3/1/2025,20250301,14,899387,861.483,2286.7,78
3/1/2025,20250301,15,899387,942.491,2462.46,80
3/1/2025,20250301,16,899387,848.383,2274.83,80
3/1/2025,20250301,17,899387,919.725,2451.65,84
3/1/2025,20250301,18,899387,663.746,1740.68,67
3/1/2025,20250301,19,899387,515.273,1371.51,45
3/1/2025,20250301,20,899387,363.792,972.61,37
3/1/2025,20250301,21,899387,422.453,1104.43,45
3/1/2025,20250301,22,899387,378.73,1017.75,39
3/1/2025,20250301,23,899387,215.148,572.38,26
3/2/2025,20250302,0,899387,204.923,537.67,23
3/2/2025,20250302,1,899387,95.749,245.71,11
3/2/2025,20250302,2,899387,120.272,305.63,9
3/2/2025,20250302,3,899387,99.38,259.11,10
3/2/2025,20250302,4,899387,72.163,188.17,9
3/2/2025,20250302,5,899387,98.677,257.07,10
3/2/2025,20250302,6,899387,165.099,455.44,19
3/2/2025,20250302,7,899387,304.654,803.7,29
3/2/2025,20250302,8,899387,393.59,1046.05,39
3/2/2025,20250302,9,899387,514.539,1353.77,51
3/2/2025,20250302,10,899387,748.843,1968.39,72
3/2/2025,20250302,11,899387,734.845,1964.06,71
3/2/2025,20250302,12,899387,987.732,2631.23,85
3/2/2025,20250302,13,899387,1021.266,2697.21,99
3/2/2025,20250302,14,899387,840.278,2228.09,74
3/2/2025,20250302,15,899387,855.235,2320.64,80
3/2/2025,20250302,16,899387,847.993,2259.4,77
3/2/2025,20250302,17,899387,948.484,2541.62,86
3/2/2025,20250302,18,899387,851.01,2268.33,75
3/2/2025,20250302,19,899387,829.511,2271.83,75
3/2/2025,20250302,20,899387,543.083,1466.58,52
3/2/2025,20250302,21,899387,317.019,842.98,36
3/2/2025,20250302,22,899387,236.571,617.66,30
3/2/2025,20250302,23,899387,189.888,490.11,24
3/3/2025,20250303,0,899387,42.691,109.95,6
3/3/2025,20250303,1,899387,134.364,358.56,16
3/3/2025,20250303,2,899387,59.826,160.42,10
3/3/2025,20250303,3,899387,146.211,371.48,14
3/3/2025,20250303,4,899387,164.382,436.91,16
3/3/2025,20250303,5,899387,324.646,862.12,26
3/3/2025,20250303,6,899387,534.086,1430.28,48
3/3/2025,20250303,7,899387,1035.677,2716,68
3/3/2025,20250303,8,899387,574.033,1535.28,51
3/3/2025,20250303,9,899387,350.401,946.64,34
3/3/2025,20250303,10,899387,735.557,1995,61
3/3/2025,20250303,11,899387,768.712,2069.91,70
3/3/2025,20250303,12,899387,813.079,2180.47,70
3/3/2025,20250303,13,899387,875.133,2307.17,79
